1
3 2 3 8 11 114
4 3 9 13 16 11 113
3 5 11 13 16 113
4 2 3 9 16 11 113
4 2 9 17 16 11 113
4 2 5 17 16 11 113
4 2 9 10 11 3 112
4 9 10 13 11 3 112
3 3 8 11 13 112
3 3 8 12 13 111
4 2 9 14 17 16 110
4 2 9 18 17 16 110
4 2 14 18 17 16 110
4 9 14 18 17 16 110
4 4 9 18 17 16 110
4 4 5 18 17 16 110
4 2 5 18 17 16 110
3 9 10 11 13 109
4 2 9 17 11 10 109
4 2 9 18 16 14 108
4 1 2 6 16 14 108
4 1 2 9 16 14 108
4 1 6 9 16 14 108
4 2 6 9 16 14 108
4 1 6 9 15 14 107
3 9 14 15 18 107
4 2 10 14 18 9 106
4 2 10 17 18 9 106
4 2 14 17 18 9 106
4 10 14 17 18 9 106
4 3 4 16 18 9 106
4 3 4 10 18 9 106
4 2 3 16 18 9 106
4 2 3 19 18 9 106
4 2 16 19 18 9 106
4 3 16 19 18 9 106
4 3 7 15 18 9 106
4 3 7 19 18 9 106
4 3 15 19 18 9 106
4 7 15 19 18 9 106
4 2 3 7 18 9 106
4 2 3 10 18 9 106
4 2 3 19 18 9 106
4 2 7 10 18 9 106
4 2 7 19 18 9 106
4 2 10 19 18 9 106
4 3 7 10 18 9 106
4 3 7 19 18 9 106
4 3 10 19 18 9 106
4 7 10 19 18 9 106
4 2 7 10 18 9 106
4 2 7 19 18 9 106
4 2 7 20 18 9 106
4 2 10 19 18 9 106
4 2 10 20 18 9 106
4 2 19 20 18 9 106
4 7 10 19 18 9 106
4 7 10 20 18 9 106
4 7 19 20 18 9 106
4 10 19 20 18 9 106
4 2 7 10 18 9 106
4 2 7 17 18 9 106
4 2 7 20 18 9 106
4 2 10 17 18 9 106
4 2 10 20 18 9 106
4 2 17 20 18 9 106
4 7 10 17 18 9 106
4 7 10 20 18 9 106
4 7 17 20 18 9 106
4 10 17 20 18 9 106
4 4 10 17 18 9 106
4 4 10 20 18 9 106
4 4 17 20 18 9 106
4 10 17 20 18 9 106
4 2 10 17 14 9 105
4 1 2 6 14 9 105
4 1 3 9 16 4 104
4 5 12 18 16 4 104
4 3 12 18 16 4 104
3 1 3 4 9 103
3 3 4 9 10 102
4 10 17 20 9 4 102
4 2 17 18 14 10 101
4 10 12 18 4 3 100
3 2 5 11 17 99
4 4 18 20 17 5 99
4 2 18 20 17 5 99
4 3 7 9 19 2 98
4 3 7 10 19 2 98
4 3 9 10 19 2 98
4 7 9 10 19 2 98
4 7 9 10 19 2 98
4 7 9 20 19 2 98
4 7 10 20 19 2 98
4 9 10 20 19 2 98
4 3 16 18 19 2 98
4 3 7 10 19 2 98
4 3 7 18 19 2 98
4 3 10 18 19 2 98
4 7 10 18 19 2 98
4 7 10 18 19 2 98
4 7 10 20 19 2 98
4 7 18 20 19 2 98
4 10 18 20 19 2 98
4 1 3 6 19 2 98
4 1 3 9 19 2 98
4 1 3 16 19 2 98
4 1 6 9 19 2 98
4 1 6 16 19 2 98
4 1 9 16 19 2 98
4 3 6 9 19 2 98
4 3 6 16 19 2 98
4 3 9 16 19 2 98
4 6 9 16 19 2 98
4 1 3 7 19 2 98
4 1 3 9 19 2 98
4 1 7 9 19 2 98
4 3 7 9 19 2 98
4 7 9 10 3 2 97
3 2 3 16 18 97
4 7 10 18 3 2 97
4 1 6 9 3 2 97
4 1 6 16 3 2 97
4 1 9 16 3 2 97
4 6 9 16 3 2 97
4 1 7 9 3 2 97
4 7 10 19 18 3 96
4 7 15 19 18 3 96
4 12 16 19 18 3 96
4 10 12 19 18 3 96
4 6 13 16 12 3 95
4 6 13 19 12 3 95
4 6 16 19 12 3 95
4 13 16 19 12 3 95
4 10 13 19 12 3 95
4 3 9 19 10 7 94
4 9 19 20 10 7 94
4 18 19 20 10 7 94
4 2 9 17 10 7 94
4 2 9 20 10 7 94
